AutoCtr,Order,OtherOrders,CommonAncestor
1243,Heterodontiformes,Dactylopteriformes,457
1244,Heterodontiformes,Callionymiformes,457
1245,Heterodontiformes,Mulliformes,457
1246,Heterodontiformes,Synbranchiformes,457
1247,Heterodontiformes,Anabantiformes,457
1248,Heterodontiformes,Carangaria/misc,457
1249,Heterodontiformes,Carangiformes,457
1250,Heterodontiformes,Pleuronectiformes,457
1251,Heterodontiformes,Mugiliformes,457
1252,Heterodontiformes,Ovalentaria/misc,457
1253,Heterodontiformes,Gobiesociformes,457
1254,Heterodontiformes,Blenniiformes,457
1255,Heterodontiformes,Cichliformes,457
1256,Heterodontiformes,Beloniformes,457
1257,Heterodontiformes,Atheriniformes,457
1258,Heterodontiformes,Cyprinodontiformes,457
1259,Heterodontiformes,Perciformes/Percoidei,457
1260,Heterodontiformes,Perciformes/Zoarcoidei,457
1261,Heterodontiformes,Perciformes/Bembropoidei,457
1262,Heterodontiformes,Perciformes/Percophoidei,457
1263,Heterodontiformes,Perciformes/Notothenioidei,457
1264,Heterodontiformes,Perciformes/Uranoscopoidei,457
1265,Heterodontiformes,Perciformes/Serranoidei,457
1266,Heterodontiformes,Perciformes/Scorpaenoidei,457
1267,Heterodontiformes,Perciformes/Gasterosteoidei,457
1268,Heterodontiformes,Perciformes/Cottoidei,457
1269,Heterodontiformes,Acropomatiformes,457
1270,Heterodontiformes,Centrarchiformes,457
1271,Heterodontiformes,Eupercaria/misc,457
1272,Heterodontiformes,Acanthuriformes,457
1273,Heterodontiformes,Lophiiformes,457
1274,Heterodontiformes,Tetraodontiformes,457
1275,Heterodontiformes,Coelacanthiformes,457
1276,Heterodontiformes,Ceratodontiformes,457
1277,Orectolobiformes,Myxiniformes,500
1278,Orectolobiformes,Petromyzontiformes,500
1279,Orectolobiformes,Heterodontiformes,170
1280,Orectolobiformes,Lamniformes,170
1281,Orectolobiformes,Carcharhiniformes,170
1282,Orectolobiformes,Hexanchiformes,196
1283,Orectolobiformes,Squaliformes,196
1284,Orectolobiformes,Echinorhiniformes,196
1285,Orectolobiformes,Pristiophoriformes,196
1286,Orectolobiformes,Squatiniformes,196
1287,Orectolobiformes,Rajiformes,281
1288,Orectolobiformes,Torpediniformes,281
1289,Orectolobiformes,Rhinopristiformes,281
1290,Orectolobiformes,Myliobatiformes,281
1291,Orectolobiformes,Chimaeriformes,420
1292,Orectolobiformes,Polypteriformes,457
1293,Orectolobiformes,Acipenseriformes,457
1294,Orectolobiformes,Amiiformes,457
1295,Orectolobiformes,Lepisosteiformes,457
1296,Orectolobiformes,Elopiformes,457
1297,Orectolobiformes,Albuliformes,457
1298,Orectolobiformes,Notacanthiformes,457
1299,Orectolobiformes,Anguilliformes,457
1300,Orectolobiformes,Saccopharyngiformes,457
1301,Orectolobiformes,Hiodontiformes,457
1302,Orectolobiformes,Osteoglossiformes,457
1303,Orectolobiformes,Clupeiformes,457
1304,Orectolobiformes,Alepocephaliformes,457
1305,Orectolobiformes,Gonorynchiformes,457
1306,Orectolobiformes,Cypriniformes,457
1307,Orectolobiformes,Characiformes,457
1308,Orectolobiformes,Gymnotiformes,457
1309,Orectolobiformes,Siluriformes,457
1310,Orectolobiformes,Lepidogalaxiiformes,457
1311,Orectolobiformes,Esociformes,457
1312,Orectolobiformes,Salmoniformes,457
1313,Orectolobiformes,Argentiniformes,457
1314,Orectolobiformes,Galaxiiformes,457
1315,Orectolobiformes,Stomiiformes,457
1316,Orectolobiformes,Osmeriformes,457
1317,Orectolobiformes,Ateleopodiformes,457
1318,Orectolobiformes,Aulopiformes,457
1319,Orectolobiformes,Myctophiformes,457
1320,Orectolobiformes,Polymixiiformes,457
